driver_id,rider_id,route_overlap,detour_km,time_overlap_min,pref_match,trust_score,pickup_distance_km,compatibility_score,label
USR_D100063_DRIVER,USR_RIDER_100063,0.4836,1.075,13.0,1.0,4.459,0.33,0.6386,1
USR_D100064_DRIVER,USR_RIDER_100064,0.4897,6.233,11.1,1.0,4.688,1.032,0.4809,0
USR_D100065_DRIVER,USR_RIDER_100065,0.0614,1.193,23.4,0.0,3.351,1.559,0.2942,0
USR_D100066_DRIVER,USR_RIDER_100066,0.3245,4.561,27.8,1.0,4.316,1.006,0.5434,0
USR_D100067_DRIVER,USR_RIDER_100067,0.8134,1.906,47.1,0.0,4.895,0.874,0.6558,1
USR_D100068_DRIVER,USR_RIDER_100068,0.4563,2.271,29.0,0.0,4.74,0.884,0.5234,0
USR_D100069_DRIVER,USR_RIDER_100069,0.0975,1.187,27.5,1.0,4.299,1.36,0.5562,1
USR_D100070_DRIVER,USR_RIDER_100070,0.4457,1.498,45.2,1.0,3.865,1.902,0.6225,1
USR_D100071_DRIVER,USR_RIDER_100071,0.6403,3.222,8.0,1.0,4.907,0.97,0.7099,1
USR_D100072_DRIVER,USR_RIDER_100072,0.1241,0.575,9.3,0.0,3.957,1.234,0.3871,0
USR_D100073_DRIVER,USR_RIDER_100073,0.5427,2.968,4.7,0.0,3.545,3.496,0.3615,0
USR_D100074_DRIVER,USR_RIDER_100074,0.7318,0.263,33.8,1.0,4.124,0.983,0.791,1
USR_D100075_DRIVER,USR_RIDER_100075,0.4384,1.249,18.9,1.0,3.433,2.296,0.6285,1
USR_D100076_DRIVER,USR_RIDER_100076,0.4558,3.725,3.3,0.0,4.33,1.405,0.3406,0
USR_D100077_DRIVER,USR_RIDER_100077,0.2786,1.577,0.0,0.0,4.235,1.446,0.3263,0
USR_D100078_DRIVER,USR_RIDER_100078,0.0972,2.504,4.2,0.0,4.611,0.276,0.3064,0
USR_D100079_DRIVER,USR_RIDER_100079,0.7159,2.579,22.3,1.0,4.428,1.48,0.7752,1
USR_D100080_DRIVER,USR_RIDER_100080,0.3467,4.638,1.0,0.0,3.77,1.05,0.2733,0
USR_D100081_DRIVER,USR_RIDER_100081,0.7762,5.137,47.1,0.0,4.524,0.257,0.6198,1
USR_D100082_DRIVER,USR_RIDER_100082,0.3473,5.976,1.6,1.0,4.49,0.257,0.4477,0
USR_D100083_DRIVER,USR_RIDER_100083,0.6237,3.294,5.4,1.0,4.078,3.116,0.588,1
USR_D100084_DRIVER,USR_RIDER_100084,0.4663,3.543,40.7,1.0,4.406,1.087,0.5993,1
USR_D100085_DRIVER,USR_RIDER_100085,0.7139,1.363,1.1,0.0,4.336,0.97,0.4715,0
USR_D100086_DRIVER,USR_RIDER_100086,0.2925,4.077,40.4,1.0,3.776,0.847,0.5465,0
USR_D100087_DRIVER,USR_RIDER_100087,0.6088,0.064,0.0,0.0,4.131,1.215,0.5763,1
USR_D100088_DRIVER,USR_RIDER_100088,0.2448,2.165,30.7,1.0,4.951,1.926,0.5761,1
USR_D100089_DRIVER,USR_RIDER_100089,0.0734,2.706,20.9,0.0,4.178,2.37,0.253,0
USR_D100090_DRIVER,USR_RIDER_100090,0.7975,3.576,12.8,1.0,4.425,0.955,0.6919,1
USR_D100091_DRIVER,USR_RIDER_100091,0.3313,1.816,5.6,1.0,4.576,2.195,0.4546,0
USR_D100092_DRIVER,USR_RIDER_100092,0.4253,2.129,21.4,0.0,4.737,0.793,0.53,0
USR_D100093_DRIVER,USR_RIDER_100093,0.1719,5.096,3.6,0.0,3.774,2.198,0.2793,0
USR_D100094_DRIVER,USR_RIDER_100094,0.7607,2.494,3.8,0.0,4.625,0.197,0.5849,1
USR_D100095_DRIVER,USR_RIDER_100095,0.4134,3.666,15.4,0.0,4.694,2.268,0.4317,0
USR_D100096_DRIVER,USR_RIDER_100096,0.1768,1.048,13.7,1.0,4.595,1.172,0.5792,1
USR_D100097_DRIVER,USR_RIDER_100097,0.5013,1.196,41.6,0.0,4.917,0.584,0.6124,1
USR_D100098_DRIVER,USR_RIDER_100098,0.5018,2.513,13.3,0.0,4.712,2.183,0.4919,0
USR_D100099_DRIVER,USR_RIDER_100099,0.4706,4.571,22.2,1.0,4.334,0.417,0.5934,1
USR_D100100_DRIVER,USR_RIDER_100100,0.3719,1.232,45.6,1.0,3.744,0.866,0.7171,1
USR_D100101_DRIVER,USR_RIDER_100101,0.2708,0.053,17.0,1.0,4.749,0.393,0.5242,0
USR_D100102_DRIVER,USR_RIDER_100102,0.7185,0.827,21.7,0.0,4.175,0.065,0.569,1
USR_D100103_DRIVER,USR_RIDER_100103,0.4231,3.36,39.7,0.0,4.628,1.277,0.4074,0
USR_D100104_DRIVER,USR_RIDER_100104,0.461,5.246,51.6,0.0,4.427,2.172,0.4637,0
USR_D100105_DRIVER,USR_RIDER_100105,0.2453,5.342,34.4,1.0,4.831,0.025,0.5733,1
USR_D100106_DRIVER,USR_RIDER_100106,0.7533,3.446,16.9,1.0,4.149,1.316,0.5784,1
USR_D100107_DRIVER,USR_RIDER_100107,0.2671,0.332,1.2,1.0,3.883,2.797,0.6182,1
USR_D100108_DRIVER,USR_RIDER_100108,0.6992,0.212,29.5,1.0,3.972,1.592,0.7642,1
USR_D100109_DRIVER,USR_RIDER_100109,0.7326,1.382,43.9,0.0,4.583,1.358,0.7632,1
USR_D100110_DRIVER,USR_RIDER_100110,0.7494,2.051,23.3,1.0,3.799,0.666,0.7426,1
USR_D100111_DRIVER,USR_RIDER_100111,0.6411,6.482,12.8,0.0,4.884,0.664,0.447,0
USR_D100112_DRIVER,USR_RIDER_100112,0.7754,4.625,13.5,1.0,4.201,1.437,0.585,1
USR_D100113_DRIVER,USR_RIDER_100113,0.2603,9.341,5.1,0.0,4.171,1.27,0.2089,0
USR_D100114_DRIVER,USR_RIDER_100114,0.6606,6.015,31.9,0.0,4.26,1.938,0.4466,0
USR_D100115_DRIVER,USR_RIDER_100115,0.7563,0.21,11.4,0.0,3.921,0.26,0.6768,1
USR_D100116_DRIVER,USR_RIDER_100116,0.466,1.955,13.6,1.0,4.32,1.182,0.5833,1
USR_D100117_DRIVER,USR_RIDER_100117,0.4053,1.96,23.3,0.0,3.777,2.842,0.4835,0
USR_D100118_DRIVER,USR_RIDER_100118,0.7742,0.905,8.6,0.0,4.186,1.009,0.5676,1
USR_D100119_DRIVER,USR_RIDER_100119,0.4354,4.417,6.7,0.0,3.546,1.241,0.4285,0
USR_D100120_DRIVER,USR_RIDER_100120,0.3817,1.065,25.1,0.0,4.236,1.691,0.5747,1
USR_D100121_DRIVER,USR_RIDER_100121,0.6284,0.914,27.1,0.0,4.631,2.198,0.686,1
USR_D100122_DRIVER,USR_RIDER_100122,0.7914,2.996,2.0,0.0,4.945,1.227,0.5023,0
USR_D100123_DRIVER,USR_RIDER_100123,0.5835,1.737,29.7,1.0,3.942,0.516,0.7236,1
USR_D100124_DRIVER,USR_RIDER_100124,0.2362,0.735,7.1,1.0,4.003,1.988,0.5317,0
USR_D100125_DRIVER,USR_RIDER_100125,0.2324,2.459,20.4,0.0,4.806,2.707,0.3891,0
USR_D100126_DRIVER,USR_RIDER_100126,0.6903,1.833,16.5,0.0,3.481,1.232,0.6268,1
USR_D100127_DRIVER,USR_RIDER_100127,0.7587,4.695,26.7,1.0,3.844,0.446,0.7013,1
USR_D100128_DRIVER,USR_RIDER_100128,0.7416,1.918,2.2,0.0,3.645,2.43,0.4079,0
USR_D100129_DRIVER,USR_RIDER_100129,0.4255,3.783,58.9,1.0,3.693,0.606,0.6766,1
USR_D100130_DRIVER,USR_RIDER_100130,0.2385,1.375,0.0,0.0,3.918,1.337,0.4127,0
USR_D100131_DRIVER,USR_RIDER_100131,0.6863,2.684,16.0,0.0,4.0,2.019,0.4633,0
USR_D100132_DRIVER,USR_RIDER_100132,0.4822,3.176,17.0,0.0,4.056,0.005,0.4984,0
USR_D100133_DRIVER,USR_RIDER_100133,0.3815,1.392,20.8,0.0,4.846,1.187,0.5426,0
USR_D100134_DRIVER,USR_RIDER_100134,0.6932,1.501,19.6,1.0,4.061,0.303,0.8116,1
USR_D100135_DRIVER,USR_RIDER_100135,0.4904,2.23,2.2,1.0,3.439,1.988,0.5534,1
USR_D100136_DRIVER,USR_RIDER_100136,0.5336,3.987,3.1,1.0,4.168,1.821,0.5002,0
USR_D100137_DRIVER,USR_RIDER_100137,0.8018,5.385,31.8,1.0,4.94,1.492,0.6172,1
USR_D100138_DRIVER,USR_RIDER_100138,0.5775,0.908,11.4,0.0,4.122,1.096,0.5863,1
USR_D100139_DRIVER,USR_RIDER_100139,0.1516,4.677,15.8,1.0,3.475,1.173,0.3343,0
USR_D100140_DRIVER,USR_RIDER_100140,0.386,7.414,15.8,1.0,4.402,1.414,0.5067,0
USR_D100141_DRIVER,USR_RIDER_100141,0.1182,1.492,37.5,0.0,3.758,0.119,0.4485,0
USR_D100142_DRIVER,USR_RIDER_100142,0.8673,0.539,24.5,1.0,4.942,1.841,0.9022,1
USR_D100143_DRIVER,USR_RIDER_100143,0.5457,0.305,26.2,0.0,4.232,0.456,0.5731,1
USR_D100144_DRIVER,USR_RIDER_100144,0.4661,6.241,1.0,0.0,3.911,0.523,0.2835,0
USR_D100145_DRIVER,USR_RIDER_100145,0.7664,2.995,0.0,1.0,3.922,2.746,0.6359,1
USR_D100146_DRIVER,USR_RIDER_100146,0.5441,0.096,17.9,1.0,4.674,3.828,0.7399,1
USR_D100147_DRIVER,USR_RIDER_100147,0.6885,3.047,43.2,0.0,4.63,1.152,0.6143,1
USR_D100148_DRIVER,USR_RIDER_100148,0.4115,2.763,26.1,1.0,4.463,1.09,0.6344,1
USR_D100149_DRIVER,USR_RIDER_100149,0.1965,1.157,24.3,0.0,4.095,1.97,0.3605,0
USR_D100150_DRIVER,USR_RIDER_100150,0.869,4.239,22.8,0.0,4.859,0.626,0.5984,1
USR_D100151_DRIVER,USR_RIDER_100151,0.2807,1.111,25.6,1.0,3.769,0.022,0.6077,1
USR_D100152_DRIVER,USR_RIDER_100152,0.3496,1.49,0.0,0.0,4.889,0.912,0.4301,0
USR_D100153_DRIVER,USR_RIDER_100153,0.6577,5.1,39.8,0.0,4.825,0.781,0.5674,1
USR_D100154_DRIVER,USR_RIDER_100154,0.2315,0.828,34.7,1.0,4.762,0.425,0.6879,1
USR_D100155_DRIVER,USR_RIDER_100155,0.2871,1.731,5.8,0.0,4.474,2.054,0.3612,0
USR_D100156_DRIVER,USR_RIDER_100156,0.3988,3.82,31.8,1.0,4.004,1.43,0.577,1
USR_D100157_DRIVER,USR_RIDER_100157,0.4807,2.448,19.7,0.0,3.871,1.189,0.5132,0
USR_D100158_DRIVER,USR_RIDER_100158,0.4852,3.662,10.7,1.0,3.634,0.041,0.5095,0
USR_D100159_DRIVER,USR_RIDER_100159,0.7601,4.605,18.2,0.0,4.251,3.395,0.5026,0
USR_D100160_DRIVER,USR_RIDER_100160,0.2301,0.195,10.5,1.0,4.666,2.62,0.5614,1
USR_D100161_DRIVER,USR_RIDER_100161,0.6573,1.354,0.0,0.0,3.872,2.168,0.4646,0
USR_D100162_DRIVER,USR_RIDER_100162,0.9777,2.744,39.3,0.0,3.937,1.169,0.6745,1
USR_D100163_DRIVER,USR_RIDER_100163,0.3497,5.118,12.3,0.0,4.237,1.424,0.3083,0
USR_D100164_DRIVER,USR_RIDER_100164,0.807,1.736,0.0,1.0,3.711,1.787,0.6179,1
USR_D100165_DRIVER,USR_RIDER_100165,0.4972,1.452,23.6,0.0,3.793,1.416,0.5089,0
USR_D100166_DRIVER,USR_RIDER_100166,0.7158,2.974,12.6,1.0,4.479,0.198,0.7983,1
USR_D100167_DRIVER,USR_RIDER_100167,0.5988,3.904,48.5,0.0,3.577,2.764,0.587,1
USR_D100168_DRIVER,USR_RIDER_100168,0.351,1.641,36.9,1.0,3.889,1.22,0.6075,1
USR_D100169_DRIVER,USR_RIDER_100169,0.1076,6.489,11.9,1.0,3.958,1.279,0.2972,0
USR_D100170_DRIVER,USR_RIDER_100170,0.4513,0.787,25.0,1.0,3.94,1.463,0.6347,1
USR_D100171_DRIVER,USR_RIDER_100171,0.7118,1.186,51.9,1.0,3.491,1.351,0.7892,1
USR_D100172_DRIVER,USR_RIDER_100172,0.3409,0.852,7.7,1.0,4.316,1.376,0.6124,1
USR_D100173_DRIVER,USR_RIDER_100173,0.4428,3.192,23.5,1.0,4.919,1.243,0.6272,1
USR_D100174_DRIVER,USR_RIDER_100174,0.9067,0.57,7.7,1.0,3.717,1.517,0.6626,1
USR_D100175_DRIVER,USR_RIDER_100175,0.2619,2.607,38.4,1.0,4.416,0.992,0.5506,1
USR_D100176_DRIVER,USR_RIDER_100176,0.4601,5.115,0.0,0.0,3.839,0.646,0.405,0
USR_D100177_DRIVER,USR_RIDER_100177,0.1316,2.742,8.3,1.0,4.904,1.006,0.4118,0
USR_D100178_DRIVER,USR_RIDER_100178,0.7497,1.459,37.5,1.0,4.193,0.774,0.7862,1
USR_D100179_DRIVER,USR_RIDER_100179,0.4165,3.961,0.0,1.0,4.532,2.475,0.5144,0
USR_D100180_DRIVER,USR_RIDER_100180,0.8539,5.682,24.7,0.0,3.69,1.463,0.4581,0
USR_D100181_DRIVER,USR_RIDER_100181,0.5962,4.241,21.7,0.0,4.743,1.024,0.473,0
USR_D100182_DRIVER,USR_RIDER_100182,0.6491,4.484,24.7,0.0,4.157,0.005,0.5041,0
USR_D100183_DRIVER,USR_RIDER_100183,0.7817,3.303,3.9,1.0,3.959,1.843,0.6738,1
USR_D100184_DRIVER,USR_RIDER_100184,0.4191,5.33,12.5,1.0,4.638,0.26,0.4302,0
USR_D100185_DRIVER,USR_RIDER_100185,0.7503,5.266,12.9,0.0,3.66,1.775,0.4226,0
USR_D100186_DRIVER,USR_RIDER_100186,0.3814,1.897,23.1,0.0,3.914,1.885,0.477,0
USR_D100187_DRIVER,USR_RIDER_100187,0.3944,4.773,24.1,0.0,3.164,1.742,0.3439,0
USR_D100188_DRIVER,USR_RIDER_100188,0.8205,5.085,0.0,1.0,4.019,2.65,0.6455,1
USR_D100189_DRIVER,USR_RIDER_100189,0.6586,2.959,20.4,1.0,4.915,1.363,0.6836,1
USR_D100190_DRIVER,USR_RIDER_100190,0.7177,2.349,21.9,1.0,3.641,1.747,0.687,1
USR_D100191_DRIVER,USR_RIDER_100191,0.1978,0.223,9.7,1.0,3.307,0.998,0.5494,0
USR_D100192_DRIVER,USR_RIDER_100192,0.8056,7.028,8.4,1.0,4.884,2.303,0.5632,1
USR_D100193_DRIVER,USR_RIDER_100193,0.5651,2.48,10.8,0.0,4.584,2.231,0.4719,0
USR_D100194_DRIVER,USR_RIDER_100194,0.114,5.272,0.0,0.0,4.152,1.071,0.2678,0
USR_D100195_DRIVER,USR_RIDER_100195,0.123,7.39,22.1,0.0,4.651,2.463,0.2484,0
USR_D100196_DRIVER,USR_RIDER_100196,0.0993,3.317,26.7,0.0,3.32,0.194,0.3423,0
USR_D100197_DRIVER,USR_RIDER_100197,0.1802,2.622,32.3,1.0,4.704,1.068,0.5391,0
USR_D100198_DRIVER,USR_RIDER_100198,0.1613,5.02,14.6,1.0,4.696,0.918,0.3642,0
USR_D100199_DRIVER,USR_RIDER_100199,0.5467,5.126,14.1,0.0,3.903,2.234,0.4539,0
USR_D100200_DRIVER,USR_RIDER_100200,0.8119,2.025,19.0,1.0,4.164,1.894,0.7021,1
USR_D100201_DRIVER,USR_RIDER_100201,0.3136,3.104,32.0,1.0,4.264,1.702,0.5816,1
USR_D100202_DRIVER,USR_RIDER_100202,0.3223,4.419,32.9,1.0,4.1,2.08,0.5313,0
USR_D100203_DRIVER,USR_RIDER_100203,0.2357,1.519,30.1,0.0,4.0,2.459,0.4843,0
USR_D100204_DRIVER,USR_RIDER_100204,0.8145,4.362,7.6,1.0,3.919,1.539,0.6145,1
USR_D100205_DRIVER,USR_RIDER_100205,0.6885,6.368,45.7,1.0,4.446,0.387,0.6449,1
USR_D100206_DRIVER,USR_RIDER_100206,0.764,5.832,0.0,1.0,4.424,1.58,0.6104,1
USR_D100207_DRIVER,USR_RIDER_100207,0.5767,2.777,14.1,1.0,4.94,0.542,0.6025,1
USR_D100208_DRIVER,USR_RIDER_100208,0.6939,1.799,4.5,0.0,3.864,3.526,0.5016,0
USR_D100209_DRIVER,USR_RIDER_100209,0.3373,3.259,10.3,0.0,4.261,1.353,0.3566,0
USR_D100210_DRIVER,USR_RIDER_100210,0.5408,0.304,23.5,1.0,4.486,0.323,0.7638,1
USR_D100211_DRIVER,USR_RIDER_100211,0.9256,4.732,33.2,1.0,3.783,1.073,0.7402,1
USR_D100212_DRIVER,USR_RIDER_100212,0.1434,3.232,42.8,1.0,4.821,0.064,0.6642,1
USR_D100213_DRIVER,USR_RIDER_100213,0.3181,3.916,7.8,1.0,4.296,2.23,0.5044,0
USR_D100214_DRIVER,USR_RIDER_100214,0.5548,3.731,39.5,1.0,4.63,0.459,0.6683,1
USR_D100215_DRIVER,USR_RIDER_100215,0.5812,0.668,25.8,0.0,3.212,1.64,0.5831,1
USR_D100216_DRIVER,USR_RIDER_100216,0.2433,0.659,10.0,1.0,4.875,1.295,0.5037,0
USR_D100217_DRIVER,USR_RIDER_100217,0.4385,3.538,41.8,1.0,3.911,0.805,0.6189,1
USR_D100218_DRIVER,USR_RIDER_100218,0.8558,0.173,22.2,1.0,4.102,0.831,0.9129,1
USR_D100219_DRIVER,USR_RIDER_100219,0.4857,4.975,21.6,0.0,4.276,0.511,0.4361,0
USR_D100220_DRIVER,USR_RIDER_100220,0.3863,6.164,10.4,1.0,4.159,3.165,0.4476,0
USR_D100221_DRIVER,USR_RIDER_100221,0.9624,2.626,16.2,1.0,3.965,1.405,0.7507,1
USR_D100222_DRIVER,USR_RIDER_100222,0.1767,0.761,14.8,1.0,4.074,2.007,0.5844,1
USR_D100223_DRIVER,USR_RIDER_100223,0.7095,5.639,14.3,0.0,4.007,1.971,0.4254,0
USR_D100224_DRIVER,USR_RIDER_100224,0.8635,0.773,15.0,0.0,4.766,0.587,0.5813,1
USR_D100225_DRIVER,USR_RIDER_100225,0.2285,2.362,14.0,0.0,4.331,1.195,0.4377,0
USR_D100226_DRIVER,USR_RIDER_100226,0.3523,6.038,24.2,0.0,4.272,2.002,0.3518,0
USR_D100227_DRIVER,USR_RIDER_100227,0.585,4.694,30.8,1.0,3.727,2.452,0.4395,0
USR_D100228_DRIVER,USR_RIDER_100228,0.495,0.927,2.7,1.0,4.918,0.039,0.5772,1
USR_D100229_DRIVER,USR_RIDER_100229,0.3403,5.323,14.8,0.0,4.944,4.081,0.2802,0
USR_D100230_DRIVER,USR_RIDER_100230,0.2448,4.97,28.8,1.0,4.109,0.701,0.5273,0
USR_D100231_DRIVER,USR_RIDER_100231,0.6143,3.567,20.0,1.0,3.379,1.778,0.5789,1
USR_D100232_DRIVER,USR_RIDER_100232,0.1916,5.752,1.4,0.0,3.857,0.787,0.1693,0
USR_D100233_DRIVER,USR_RIDER_100233,0.5831,0.756,6.6,1.0,3.36,0.032,0.6011,1
USR_D100234_DRIVER,USR_RIDER_100234,0.6952,3.172,11.3,1.0,4.291,0.586,0.7361,1
USR_D100235_DRIVER,USR_RIDER_100235,0.2783,6.302,28.5,0.0,4.013,1.637,0.2999,0
USR_D100236_DRIVER,USR_RIDER_100236,0.7335,1.018,0.0,1.0,4.035,0.632,0.6646,1
USR_D100237_DRIVER,USR_RIDER_100237,0.3737,5.418,0.0,0.0,3.949,0.884,0.3929,0
USR_D100238_DRIVER,USR_RIDER_100238,0.3906,0.748,6.4,0.0,4.561,1.132,0.6026,1
USR_D100239_DRIVER,USR_RIDER_100239,0.3415,1.869,17.6,1.0,4.838,2.926,0.6315,1
USR_D100240_DRIVER,USR_RIDER_100240,0.1287,6.501,12.6,0.0,3.797,0.947,0.321,0
USR_D100241_DRIVER,USR_RIDER_100241,0.594,0.267,27.3,1.0,4.462,0.869,0.7479,1
USR_D100242_DRIVER,USR_RIDER_100242,0.4463,2.369,5.6,0.0,3.812,1.081,0.3976,0
USR_D100243_DRIVER,USR_RIDER_100243,0.3977,0.096,0.0,1.0,4.406,0.381,0.672,1
USR_D100244_DRIVER,USR_RIDER_100244,0.6981,1.945,22.3,0.0,4.347,2.439,0.5581,1
USR_D100245_DRIVER,USR_RIDER_100245,0.4082,2.089,23.7,0.0,4.792,1.749,0.5345,0
USR_D100246_DRIVER,USR_RIDER_100246,0.3042,5.625,26.3,1.0,4.424,1.572,0.5512,1
